日付,ライブタイトル,会場名
2025-07-08,chemical reaction Vol.50,心斎橋VARON
2025-07-12,OSAKA BANANA GIRLS Day.1,BANANA HALL
2025-07-12,MADEMOISELLE,ナンバーゲート
2025-07-13,OSAKA BANANA GIRLS Day.2,BANANA HALL
2025-07-13,ABSOP pre.UNBRACE,CDC BOX
2025-07-14,日ノ目企画presentsMONDAYDRIVE,京都ROKA
2025-07-16,chemical reaction Vol.51,心斎橋VARON
2025-07-18,狐軍奮闘 第二弾,梅田Zeela
2025-07-19,O-VER-KiLL全国主催TOURAWAKENiNG,京都ROKA
2025-07-19,,ARROWナンバHIPS
2025-07-20,FREEEEEEESTYLE!!! 〜SPECIAL SUMMER fes〜,心斎橋SUNHALL
2025-07-20,GEM JAM FES！,#G8ナンバーゲート
2025-07-22,日南こなつ生誕祭〜ココから始まるちゃんこな伝説〜,心斎橋AtlantiQs
2025-07-23,Synchro Sensation Vol.10,心斎橋VARON
2025-07-25,アイドル好きで何がわるい presents. 「そろそろまつり!」,#G8 ナンバーゲート
2025-07-26,「SAKURATRIP」,渋谷音楽堂
2025-07-27,アイドルわくくんDAYO!,下北沢Flowers Loft
2025-07-27,ドグマエッジ,代官山SpaceODD
2025-07-29,chemical reaction Vol.52,心斎橋VARON
2025-08-01,為虎傅翼ーイコフヨクー husky 祝7周年,心斎橋VARON
2025-08-02,魔訶狼煙,名古屋 RAD HALL
2025-08-03,はちみつの日SPライブ!!,cluib RAGZA
2025-08-05,chemical reaction Vol.53,心斎橋VARON
2025-08-09,Section U.G Presents VOLTAGE LEGION,アメリカ村DROP
2025-08-10,MythTale,十三GABU
2025-08-10,UZMK PRESENTS,アメリカ村DROP
2025-08-11,ABSOP pre. NUMBER ZERO,心斎橋VARON
2025-08-11,OSAKA BANANA GIRLS,BANANA HALL
2025-08-13,PIEN present PassAge Point in OSAKA Vol.11 -アメリカ村 DROP 22th ANNIVERSARY-,アメリカ村DROP
2025-08-13,レゼル祭り,心斎橋Drop
2025-08-14,2025年8月14日(木),GORILLA HALL OSAKA
2025-08-16,rock field ULTRA LIVE in 上野 SUMMER,上野恩賜公園野外ステージ
2025-08-16,ドグマエッジ,池袋 SOUND PEACE
2025-08-17,のどか生誕祭2025 in TOKYO,新宿HEIST
2025-08-17,NEW AGE TOUR 2025 TOKYO,SHIBUYA CLUB QUATTRO
2025-08-19,Synchro Sensation Vol.11,心斎橋VARON
2025-08-20,狐軍奮闘第三段 夏祭り特別編滝汗,心斎橋VARON
2025-08-23,NEW AGE TOUR 2025 OSAKA,BIG CAT
2025-08-23,WEEKEND WEEKEND OSAKA SPECIAL,CONPASS
2025-08-24,SOUNDRIVE vol.42,セカンドクラッチ
2025-08-28,のどか生誕祭,心斎橋VARON
2025-08-30,︎︎AIMING︎︎︎,#G8 ナンバーゲート
2025-08-30,おちゃメンタル☆パーティー/husky/ふぁんたす！ 3MAN LIVE,CDCBOX
2025-08-31,茉莉のお祭りわっしょい 茉莉生誕祭2025,福島2nd Line
2025-09-02,chemical reaction Vol.54,心斎橋VARON
2025-09-03,husky ／ 新章 大阪☆春夏秋冬 ／ 神薙-時うさぎ-　3manインストア,ヨドバシカメラ マルチメディア梅田 1階 阪急側イベントスペース
2025-09-06,為虎傅翼ーイコフヨクー　東京公演,新宿HEIST
2025-09-06,屋根裏 vol.36,新高円寺LOFTX
2025-09-06,GirlS-IntegratioN-0906-,目黒鹿鳴館
2025-09-07,INFINITY LIVE presents,四谷LOUTS
2025-09-07,VILLAINS HOUSE定期公演HORROR HOUSEVol.15,aube shibuya
2025-09-09,設定６革命　ソロ目の日,心斎橋VARON
2025-09-11,AFTER DARK,OSAKA MUSE
2025-09-12,No.*Day扇園セネカ生誕祭,西九条BRANDNEW
2025-09-13,ミラーシュカpresents『歪ナル昼餐会 』-Waltz for a Half Year-,アメリカ村BEYOND
2025-09-13,川西愛菜生誕祭 -2025-,アメリカ村 DROP
2025-09-14,AIMING︎,FANJ twice
2025-09-14,GANGDEMIC pre.BANDANIZE PRIDE Final Season - HANG OUT TRIBE -  大阪編,アメ村DROP
2025-09-15,OSAKA BANANA GIRLS,BANANA HALL
2025-09-15,carol pixie -pink-,Umeda Zeela
2025-09-17,日ノ目企画presentsWEDNESDAYDIVE,京都ROKA
2025-09-19,Section U.G Presents VOLTAGE LEGION vol.5,アメ村BEYOND
2025-09-20,アイドル好きで何がわるい,am HALL
2025-09-20,EXEEEEED-OSAKA-,アメリカ村DROP
2025-09-21,アルカTOUR激奏コネクト-大阪-主催イベント,西九条BLAND NEW
2025-09-23,発狂交響曲第∞番ケミカルトリップエクスタシーナイトフィーバーオーバードーズ頭蓋骨爆裂★祝☆出産逆行★,ナンバーゲート
2025-09-24,COzMICぱれーど定期公演　ガールズグループ対バン編,心斎橋角座
2025-09-25,Synchro Sensation Vol.12,心斎橋VARON
2025-09-26,MUSIC QUEST,Yogibo META VALLEY
2025-09-27,日ノ目企画presents,京都ROKA
2025-09-30,chemical reaction Vol.55,心斎橋VARON
2025-10-04,GOTHAMCIRCUS TOURNAGOYA,Nagoya LIVE HOUSE CIRCUS
2025-10-05,神風雷鳴-Divine Storm-,十三GABU
2025-10-08,青春は1枚のチェキから,江坂MUSE
2025-10-10,えいほい祭〜沖田彩華30th Birthday〜,アメリカ村DROP
2025-10-11,KNOCK OUT MONKEY presents「猿爆祭2025」,KOBE 108
2025-10-12,-BURNING SAD MAN- vol.1,GORILLA HALL
2025-10-13,蜂蜜★皇帝10周年記念対バン!!! in OSAKA,LIVE SQUARE 2nd LINE
2025-10-13,~蜂蜜★皇帝10周年記念企画~,LIVE SQUARE 2nd LINE
2025-10-16,sync-sens 雫生誕祭,心斎橋VARON
2025-10-18,mini PEF~mini POPPiNG EMO FESTiVAL~Part.7~,池袋リヴォイス
2025-10-18,Killer Tune SHIBUYA 2025 SP LIVE,SHIBUYA CYCLONE
2025-10-19,東京mist しおん BIRTHDAY LIVE 1部,shibuya THE GAME
2025-10-19,ちくわ・びゃくや・そら　生誕祭　東京編,新高円寺LOFTX
2025-10-22,Diamond Polishers,梅田BANGBOO
2025-10-23,ちくわ・びゃくや・そら　生誕祭　大阪編,心斎橋VARON
2025-10-25,IDO-LIVE!!HALLOWEEN,Music Club JANUS
2025-10-28,紅炎ノ誓〜妖狐繚乱  紅葉まろ生誕祭〜,心斎橋VARON
2025-10-30,-CØCØRIZE MV Premiere LIVE-,心斎橋CLAPPER
2025-10-31,GORILLAZUN 2025,GORILLA HALL OSAKA
2025-11-02,SAKURA JOURNEY,PLUSWIN HALL
2025-11-03,MON LADY,アメリカ村BEYOND
2025-11-03,milachka presentsClubVechel,アメリカ村BEYOND
2025-11-05,CHOOSE FUN,MUSIC FARM
2025-11-06,chemical reaction Vol.56,心斎橋VARON
2025-11-08,深海の雨音 vol.44,新高円寺LOFTX
2025-11-08,アイクル2025本祭,下北沢サーキット
2025-11-09,icontinew東名阪ツアー2025,高田馬場CLUB PHASE
2025-11-11,設定６革命　ソロ目の日,心斎橋VARON
2025-11-11,MOON RABBiTS　東名阪ツアー2025　ROAD to PROMiSE,Yogibo HOLY MOUNTAIN
2025-11-12,husky ／ CRYZ ／ Krown Krown　3manインストア,ヨドバシカメラ マルチメディア梅田 1階 阪急側イベントスペース
2025-11-15,OWLscroll レーベル主催東名阪ツアーOWL's Outings,アメリカ村DROP
2025-11-16,ID COMPASS,YEBISU YA PRO
2025-11-18,NEVER FADE Vol.8,梅田ライブスペース ODYSSEY
2025-11-19,Synchro Sensation Vol.13,心斎橋VARON
2025-11-23,VS LIVE,福岡Pocket
2025-11-24,FROM06,ハイブリッジ劇場
2025-11-27,ハッピーアワー酒場生誕祭編〜この日はとりあえずしゅかで〜,心斎橋VARON
2025-11-29,ART SOUND presents SOUND GARDEN 2025,DEEP
2025-11-30,エキセントリックトーキョー,代官山SpaceODD
2025-11-30,Kotono Birthday Live -Happy Nyan Day-,Shibuya Star lounge
2025-12-02,蜂蜜★皇帝3rdアルバム｢ハチノス 2025｣ レコ発 東名阪ツアー 大阪公演,心斎橋VARON
2025-12-06,「おちゃメンタル☆パーティー 山川さくら誕生祭2025～さくらの至幸４マン～」,CDCBOX
2025-12-07,HAPPY DREAMING #ハピドリ vol.2,Yogibo HOLY MOUNTAIN
2025-12-07,IDOORLOVES,心斎橋ANIMA
2025-12-10,｢猫生誕祭｣,心斎橋VARON
2025-12-13,GOLD RUSH,阿倍野ロックタウン
2025-12-13,戦国アニマル極楽浄土×ミリオン! Million Heaven Tokyo,アメリカ村DROP
2025-12-15,SCRUM 2025 THE BEST,BIG CAT
2025-12-16,husky ／ sync-sens ／ ディノゾール　3manインストア,ヨドバシカメラ マルチメディア梅田 2F Links広場
2025-12-17,chemical reaction Vol.57,心斎橋VARON
2025-12-20,ニューハシャゲ,下北沢ADRIFT
2025-12-21,無銭大好きマン,池袋 SOUND PEACE
2025-12-21,「ネクストカルチャーズ -クリスマス直前編🎄-」,DESEO mini
2025-12-22,Synch Mob Presents VOLTAGE LEGION,DROP
2025-12-24,「おちゃめなクリスマスパーティーナイト」,BananaHall
2025-12-25,Synchro Sensation Vol.14,心斎橋VARON
2025-12-27,INFINITY LIVE presents,大阪MUSE
2025-12-28,レゼル祭り　年末SP,心斎橋CLAPPER
2025-12-28,Ovalcore present Lunar Bash,心斎橋CLAPPER
2025-12-30,風神雷神　年末SP,心斎橋Drop
2025-12-30,PIEN PRESENTS PASSAGE POINT IN OSAKA VOL.16,アメ村DROP
2025-12-31,chemical reaction 年末SP,心斎橋VARON
2025-12-31,のどか卒業公演,心斎橋VARON
2026-01-03,2026 shiuk birth day live,心斎橋VARON
2026-01-03,ディノゾール　冬子・REX生誕祭,心斎橋VARON
2026-01-04,レゼル祭り　年始SP,心斎橋CLAPPER
2026-01-04,PIEN presents  OSAKAお正月!,心斎橋CLAPPER
2026-01-06,FaveZone in ヨドバシ梅田,ヨドバシカメラ マルチメディア梅田 2階 Links広場
2026-01-10,風神雷神　成人SP,2nd LINE⏰①開場：10:30開演：11:00
2026-01-11,N.G.D,The Voodoo lounge
2026-01-11,H.N.D Vol.1,The Voodoo Lounge
2026-01-12,N.G.D,The Voodoo lounge
2026-01-12,BUTABA-LIVE,ハイブリッジ劇場
2026-01-14,Misaki Birthday Live 2026,2ndLINE
2026-01-15,chemical reaction Vol.58,心斎橋VARON
2026-01-17,夢乃なつみ生誕祭〜きみと青春2025〜,岐阜CLUB-G
2026-01-18,電光石火　2026,2nd LINE
2026-01-18,IDO-LIVE!!,Music Club JANUS
2026-01-20,ENCLOSURE,アメ村DROP
2026-01-21,Synchro Sensation Vol.15,心斎橋VARON
2026-01-23,日ノ目企画presents,京都ROKA
2026-01-24,BLUESATURDAY,アメリカ村BEYOND
2026-01-24,AbstractColorful,アメリカ村BEYOND
2026-01-25,NANONI pre, 闘争本能 EX Round  -Osaka-,Yogibo HOLY MOUNTAIN
2026-01-27,chemical reaction Vol.59,心斎橋VARON
2026-01-30,AdFicTioN CHIHIRO生誕LIVEStaying With You,新宿club SCIENCE
2026-01-31,為虎傅翼ーイコフヨクー　東京公演,新宿HEIST
2026-01-31,Re:Birth,池袋SOUND PEACE
2026-02-01,レゼルカフェ,学園喫茶ゆいがどくそん！
2026-02-03,風神雷神・節分編,心斎橋VARON
2026-02-05,ESAKA MUSE×新章 大阪☆春夏秋冬BAND×IDOL -FUSION-,ESAKA MUSE
2026-02-07,ULTRIZE tour 2026,金沢REDSUN
2026-02-09,IDO-LIVE!!,Music Club JANUS
2026-02-10,PIEN presents,アメ村DROP
2026-02-11,UMEDA✖STORM,PICCADILLY PREMIUM
2026-02-11,KITAZ BLAZE,LIVESPACE ODYSSEY
2026-02-12,日ノ目企画presents THURSDAYTRIP,京都ROKA
2026-02-14,夢幻泡影,渋谷CHELSEA HOTEL
2026-02-14,ギャルイベ,池袋 SOUND PEACE
2026-02-14,MIX JAPAN VALENTINE  DAZO ！,新宿NINESPICES
2026-02-15,あきばのともだち ひる,TwnBoxAKIHABARA
2026-02-15,ドグマエッジ,池袋 SOUND PEACE
2026-02-16,Synchro Sensation Vol.16,心斎橋VARON
2026-02-18,FaveZone in ヨドバシ梅田,ヨドバシカメラ梅田イベントスペース1F
2026-02-21,姫宮龍華 生誕祭 2026,SIX ONE
2026-02-22,暇な三人で撮影会,Atelier du Anne
2026-02-23,IDO-LIVE!!,Music Club JANUS
2026-02-23,アイドル好きで何がわるい,OSAKA MUSE
2026-02-24,Synch Mob Presents VOLTAGE LEGION ,アメ村DROP
2026-02-25,chemical reaction Vol.60,心斎橋VARON
2026-02-28,YAVAMiX,SENDAI MusicSpace BARTAKE
2026-02-28,電脳仙女,buzz R studio
2026-03-01,センシティブ集会仙台,live studio RIPPLE
2026-03-03,SCLIVE,FANJ twice
2026-03-04,為虎傅翼ーイコフヨクー  龍虎の変,心斎橋VARON
2026-03-07,ドグマエッジ,池袋SOUNDPEACE
2026-03-07,屋根裏 vol.46,新高円寺LOFTX
2026-03-08,UNITED vol.09,HOLIDAY SHINJUKU
2026-03-08,スペシャル にゃんまっち,TwinBoxAKIHABARA
2026-03-09,終幕双響,下北沢シャングリラ
2026-03-12,為虎傅翼ーイコフヨクー　龍虎の変,心斎橋VARON
2026-03-14,AFTER DARK,心斎橋 SUNHALL
2026-03-15,NOIR SONIC 2026,浜松市ギャラリーモール　ソラモ
2026-03-16,chemical reaction Vol.61,心斎橋VARON
2026-03-18,アイドル好きで何がわるい,ナンバーゲート
2026-03-20,mini PEF~mini POPPiNG EMO,大塚Hearts Next
2026-03-20,秋葉原と制服そしてアイドル,TwinboxGARAGE
2026-03-21,ネクストカルチャーズTwinboxサーキット,Twinbox AKIHABRA
2026-03-22,IDO-LIVE!!,Music Club JANUS
2026-03-25,Lumi Prima デビューライブshine bright,梅田amHALL
2026-03-26,下谷あゆ卒業公演〜対バン編〜,Takara Osaka
2026-03-27,浮世茶会,FANJ Twice
2026-03-28,miniちかっぱ祭ver.28.0 inOSAKA,クリエイティブセンター大阪（CCO）
2026-03-28,GEM JAM FES！,FANJ twice
2026-03-29,マギマギpresents,心斎橋SOMA
2026-03-29,miniちかっぱ祭ver.28.0 inOSAKA,クリエイティブセンター大阪（CCO）
2026-03-30,sync-sens 末莉 · husky ちくわﾁｬﾝﾃﾞｽ,secret base
2026-04-01,為虎傅翼ーイコフヨクー　龍虎の変,心斎橋VARON
2026-04-02,フリフリ★ドロップ -FREE FREE DROP-,アメ村DROP
2026-04-04,LUPINUS ROCK FESTIVAL 2026,渋谷FOWS
2026-04-04,屋根裏 vol.48,新高円寺LOFTX
2026-04-05,OWLscroll circuit LIVE,SHIBUYA THE GAME
2026-04-07,為虎傅翼ーイコフヨクー　龍虎の変,心斎橋VARON
2026-04-08,Synchro Sensation Vol.17,Sound Note OSAKA
2026-04-09,きゃりーぱーりー,福島2nd LINE
2026-04-11,AFTER DARK,心斎橋SUNHALL
2026-04-11,日ノ目企画presents,京都ROKA
2026-04-12,IDO-LIVE!!,Music Club JANUS
2026-04-12,Kick ass GIG,アメリカ村DROP
2026-04-13,SynchMob &PIEN presents VOLTAGE LEGION,アメ村DROP
2026-04-14,chemical reaction Vol.62,心斎橋VARON
2026-04-15,PIEN presents VOl.91 -SPARKLE WAVE- 500YEN SPARK SESSION –,アメリカ村DROP
2026-04-16,「狐軍奮闘」第九弾,アメ村BEYOND
2026-04-18,Lobe is the air,アメリカ村BEYOND
2026-04-18,SCLIVE,アメリカ村 DROP
2026-04-19,レゼル 撮影会2026,KOMINKA SOU
2026-04-24,TAKE YOUR HEART,Live House ANIMA
2026-04-25,推し活すっきゃねんふぇす,梅田amHALL
2026-04-25,｢大阪造船所アイドルフェス｣,CCOクリエイティブセンター
2026-04-26,ROCKING DOGS,アメリカ村BEYOND
2026-04-27,感灯終唱~ｶﾝﾄｳｼｭｳｼｮｳ~,心斎橋BIGCAT
