日付,ライブタイトル,会場名
2024-05-28,タイトル:シンデレラ裁判　Vol.4,心斎橋VARON
2024-05-29,SPIRSE pre. exposure,NUMBER GATE
2024-06-01,Killer Tune SHIBUYA Special!!,THE GAME
2024-06-01,ドグマエッジ,池袋SOUNDPEACE
2024-06-02,GEKIROCK CLOTHING PresentsWEAR THE MUSIC,渋谷WOMB
2024-06-02,ドグマエッジ,池袋SOUNDPEACE
2024-06-05,Stomp The Distance vol.18 -PASTIME LIVING DEAD & FOR MY SELF RELEASE TOUR-,心斎橋VARON
2024-06-06,設定6革命！,心斎橋VARON
2024-06-08,パピムズFES2024,下北沢CLUB251
2024-06-08,緊急開催!!メルクマールメルマール×husky PASSING POINT 2MAN,四谷LOTUS
2024-06-09,mistFES2024,RAD HALL
2024-06-11,chemical reaction Vol.24,心斎橋VARON
2024-06-12,1+1＝,難波Mele
2024-06-13,ガラチア主催ワルプルギス⑩,大阪RUIDO
2024-06-16,chemical reaction  梅雨ぶっ飛ばす編,心斎橋SUN HALL
2024-06-16,メルクマールメルマール主催,寺田町FireLoop
2024-06-17,アイドル好きで何がわるい,アメリカ村DROP
2024-06-21,おにぎりフェスティバル,フェアリーテイルズ大阪
2024-06-22,時の扉,qupe
2024-06-22,huskyミニライブ&特典会,Like an Edison大阪店
2024-06-22,AIMING,#G8 ナンバーゲート
2024-06-23,推し事.SuperLive大阪,ROCKTOWN
2024-06-27,chemical reaction Vol.25,心斎橋VARON
2024-06-29,SPRISE Pre NEO TRIP,TEMPO HARBOR THEATER
2024-06-30,スイ・ラム生誕祭,Yogibo HOLY MOUNTAIN
2024-07-01,husky×おちゃメンタル☆パーティー ツーマンライブ,CDCBOX
2024-07-02,RIZZNACC #2,アメリカ村DROP
2024-07-03,決戦 X 0824！ 決起会SP,心斎橋VARON
2024-07-07,Growing up! vol.1,心斎橋SOMA
2024-07-07,GRAPE FRUIT NANDEYANEN <NIGHT>,心斎橋CONPASS
2024-07-08,アイドル好きで何がわるい circuit,NUMBER GATE
2024-07-09,chemical reaction Vol.26,心斎橋VARON
2024-07-11,RIBIAID,心斎橋SUNHALL
2024-07-12,メルクマールメルマール主催,HOLYDAY SHINJUKU
2024-07-13,東京激ロックDJパーティー EDGE-CRUSHER Vol.186,LIVEHOLIC
2024-07-14,シン・盟友戦線 -戦極×husky-,池袋SOUND PEACE
2024-07-14,SHINJUKU PANDAEMONIUM,新宿アイドルステージ
2024-07-15,為虎傅翼ーイコフヨクー東京公演,新宿HEIST
2024-07-15,屋根裏 vol.18,新高円寺LOFTX
2024-07-18,husky confront the grow up Vol.3,心斎橋VARON
2024-07-19,Red Death Chocolate Rampage,アメ村ANIMA
2024-07-20,COMRIZEDREAM TOUR FUKUOKA,BEAT STATION
2024-07-20,FROM81 DAY1,graf
2024-07-21,BTBR-GIG,BEAT STATION
2024-07-21,FROM81 DAY2,graf
2024-07-23,女魂エモーション,心斎橋CLAPPER
2024-07-25,chemical reaction Vol.27,心斎橋VARON
